judge,candidate_chosen,candidate_not_chosen
judge1,OLEVE_4024s11qp12_Q_26b_2,ENGOC_A501-02_Q_1c_1
judge1,ENGOC_J560-01_Q_18_3,SCOTL_SCOSG-FP2_Q_4b_4
judge1,ENGOC_J560-05_Q_5_2,ENGAQ_43603F_Q_12a_4
judge1,KOREA_KORG92011_Q_6_1,ENGOC_J560-06_Q_9_3
judge1,ENGED_5MB3F01_Q_11bi_3,ENGAQ_83001F_Q_13_2
judge1,IBO_IBOMATSDP1_Q_3f_1,ENGOC_A503-02_Q_2c_4
judge1,ENGAQ_83003H_Q_11_1,ENGED_1MA13F_Q_7b_3
judge1,ENGED_1MA11H_Q_16a_2,KOREA_KORG92011_Q_19_2
judge1,KOREA_KORG92011_Q_CR4a _2,ENGOC_A502-02_Q_5b_1
judge1,ENGOC_A502-02_Q_1a_3,MASSA_MASG10-P2_Q_36_4
judge1,ENGOC_J560-04_Q_14c_6,ENGAQ_43601F_Q_4c_5
judge1,SCOTL_SCOSG-GP1_Q_2_1,ENGWJ_4353-01_Q_7b_1
judge1,ENGWJ_4352-02_Q_8_2,ENGED_5MB1F01_Q_1b_1
judge1,IBO_IBOMATSDP1_Q_14a_5,IBO_IBOMATSDP1_Q_5d_6
judge1,ONTAR_ONTG9Appl_Q_13_2,ENGOC_J560-01_Q_10aii_1
judge1,HONGK_HKG2010CEP2_Q_10_2,ENGWJ_4353-01_Q_8c_3
judge1,JAPAN_JPNY3QPB_Q_2a_2,ENGWJ_4351-02_Q_1b_6
judge1,OLEVE_4024s11qp22_Q_10biii_4,IGCSE_0580-42 _Q_3aii_4
judge1,ENGWJ_4352-02_Q_14b_1,IBO_IBOMATSDP1_Q_9bi_3
judge1,ENGWJ_4352-01_Q_5c_2,NEWZE_91028_Q_3cii_2
judge1,OLEVE_4024s11qp22_Q_5c_1,IGCSE_0580-22 _Q_17a_2
judge1,ONTAR_ONTG9Acad_Q_23_2,ONTAR_ONTG9Appl_Q_20_3
judge1,KOREA_KORG92011_Q_22_4,SCOTL_SCOSG-FP1_Q_3_6
judge1,IBO_IBOMATSDP2_Q_1a_5,KOREA_KORG92011_Q_5_4
judge1,ENGOC_A503-02_Q_12c_4,ENGED_1MA12F_Q_1a_1
judge1,ENGWJ_4353-02_Q_14_2,ENGOC_A502-01_Q_1c_1
judge1,NEWZE_91031_Q_2bii_4,OLEVE_4024s11qp12_Q_13a_1
judge1,HONGK_HKG2010CEP2_Q_27_4,ENGED_5MB3H01_Q_13a_2
judge1,ENGAQ_83001H_Q_9a_1,OLEVE_4024s11qp12_Q_11_4
judge1,ENGAQ_43602F_Q_2c_1,ENGED_5MB3F01_Q_10a_4
judge1,ENGOC_J560-04_Q_11a_1,OLEVE_4024s11qp22_Q_11bi_4
judge1,SCOTL_SCOSG-CP1_Q_12b_2,ENGAQ_43602H_Q_7b_1
judge1,JAPAN_JPNY3QPA_Q_5b_4,HONGK_HKG2010CEP1_Q_9a_4
judge1,ENGOC_J560-03_Q_11a_1,OLEVE_4024s11qp12_Q_7a_3
judge1,ENGED_1MA11F_Q_3b_1,SCOTL_SCOSG-GP1_Q_4c_6
judge1,IGCSE_0580-22 _Q_20aii_4,ENGOC_A502-02_Q_2a_2
judge1,ENGED_5MB1H01_Q_6a_6,ENGOC_J560-06_Q_16_1
judge1,ENGED_1MA12F_Q_8a_1,ENGAQ_83003H_Q_15_1
